Wavelength,Abs
543.7437134,0.027562419
543.4437256,0.027690502
543.2937622,0.027367789
542.9937134,0.026671385
542.6937256,0.026090132
542.5437012,0.025837144
542.2435913,0.02543417
541.9435425,0.026121004
541.793457,0.026742021
541.4933472,0.027659465
541.1932373,0.028586203
541.0431519,0.028097013
540.742981,0.027954813
540.4428101,0.026743233
540.2926636,0.026677826
539.9924927,0.025955293
539.6921997,0.026546244
539.5421143,0.027088074
539.2418213,0.02844785
538.9415283,0.028420627
538.7913818,0.028491106
538.4910278,0.027829578
538.1907349,0.02644147
538.0405273,0.026530586
537.7401733,0.026478335
537.4397583,0.027074821
537.2895508,0.027468622
536.9891357,0.028464904
536.6886597,0.028587364
536.5384521,0.028108364
536.2379761,0.027902888
535.937439,0.027053304
535.7872314,0.026884072
535.4866943,0.026781281
535.1860962,0.027887182
535.0358276,0.028041756
534.7352295,0.02843265
534.4346313,0.028436713
534.2843628,0.027909623
533.9837036,0.026889002
533.6830444,0.026792899
533.5327148,0.027057465
533.2320557,0.028074589
532.9313354,0.028752863
532.7809448,0.029023441
532.4802246,0.028767744
532.1794434,0.028087126
532.0290527,0.027711967
531.7282715,0.027207583
531.4274902,0.02744852
531.2770386,0.02770336
530.9761963,0.02873168
530.675354,0.028605916
530.5249023,0.028462997
530.2240601,0.028050207
530.0736084,0.027759841
529.772644,0.027781973
529.4717407,0.028235253
529.321228,0.028441548
529.0202637,0.028524332
528.7192993,0.028818335
528.5687866,0.028452577
528.2677612,0.028179454
527.9666748,0.028090909
527.8161621,0.028262796
527.5150757,0.028697137
527.2139893,0.029204695
527.0634155,0.028590377
526.7623291,0.028677255
526.4611816,0.027980903
526.3106079,0.027820719
526.0093994,0.027966987
525.7081909,0.02889527
525.5576172,0.02877629
525.2564087,0.028893389
524.9551392,0.028074313
524.8045044,0.028364142
524.5032349,0.02838191
524.2019043,0.02877322
524.0512695,0.028667049
523.749939,0.028877342
523.4486084,0.028705848
523.2979126,0.028757593
522.996521,0.028400287
522.6951294,0.028706651
522.5444336,0.028739285
522.242981,0.028900223
521.9415283,0.028882101
521.7908325,0.028835597
521.4893188,0.029252041
521.1878052,0.029315401
521.0370483,0.029207299
520.7355347,0.0289855
520.434021,0.028825389
520.2832031,0.02875917
519.9816284,0.029154392
519.6800537,0.0291341
519.5292358,0.029169589
519.2276001,0.028858861
518.9259644,0.028750597
518.7750854,0.028955311
518.4734497,0.028746393
518.3225708,0.029030416
518.020874,0.028899033
517.7191162,0.029058203
517.5682373,0.028666414
517.2664795,0.02930939
516.9647217,0.028795071
516.8138428,0.029117269
516.5120239,0.029005591
516.2102051,0.028996155
516.0592651,0.029201621
515.7573853,0.028645482
515.4555054,0.028996985
515.3045654,0.028751288
515.0026855,0.02881947
514.7007446,0.028959682
514.5497437,0.029057454
514.2478027,0.028791532
513.9458008,0.029123414
513.7947998,0.029021919
513.4927979,0.028932206
513.1907959,0.028617252
513.0397949,0.028825333
512.7377319,0.029072402
512.4356079,0.028842816
512.2846069,0.028594995
511.9824829,0.028850922
511.6803589,0.028680185
511.5292664,0.028752338
511.2271118,0.028539924
510.9249573,0.029088233
510.7738342,0.028743101
510.4716492,0.028276859
510.3205261,0.028445004
510.01828,0.028982235
509.7160339,0.028638652
509.5649109,0.028574757
509.2626038,0.028684471
508.9603271,0.028522452
508.8091431,0.028977558
508.5068054,0.028887911
508.2044678,0.028632984
508.0532837,0.028725013
507.750885,0.028883871
507.4484863,0.028399348
507.2972717,0.028569449
506.9948425,0.028337201
506.6924133,0.028338913
506.5411682,0.028381882
506.238678,0.027892372
505.9361877,0.028341236
505.7849121,0.028108694
505.4823914,0.028291252
505.1798401,0.028196359
505.0285645,0.028098891
504.7259827,0.027843764
504.5746765,0.027981842
504.2720947,0.028080581
503.9694519,0.028057965
503.8181458,0.027950037
503.5154724,0.027680101
503.2127991,0.027708961
503.0614624,0.027785366
502.7587585,0.027935075
502.4560242,0.027942861
502.304657,0.027060468
502.0018921,0.027537376
501.6991272,0.027463686
501.5477295,0.027494572
501.2449341,0.027258489
500.9421082,0.027380774
500.7906799,0.027205516
500.487854,0.027508307
500.184967,0.027548049
500.0335388,0.027214307
